Description;Standard;GUID;Revision;Description3;Revision6;Code;ShortDescription;Description7;Position
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8000/3_B5g;8000/3 Unklassifizierter maligner Tumor;8000/3 Unklassifizierter maligner Tumor;49
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8000/3_ED1;8000/3 Krebs;8000/3 Krebs;46
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8000/3_J4L;8000/3 Blastom o.n.A.;8000/3 Blastom o.n.A.;45
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8000/3_vYg;8000/3 Maligne Neoplasie;8000/3 Maligne Neoplasie;44
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8000/6_bxs;8000/6 Sekundärtumor;8000/6 Sekundärtumor;52
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8000/6_dsU;8000/6 Tumormetastase;8000/6 Tumormetastase;54
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8000/6_GPU;8000/6 Tumorembolus;8000/6 Tumorembolus;53
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8000/6_h+E;8000/6 Neoplasie, Metastase;8000/6 Neoplasie, Metastase;50
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8000/6_wPR;8000/6 Sekundäre Neoplasie;8000/6 Sekundäre Neoplasie;51
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8000/9_erJ;8000/9 Unklassifizierter maligner Tumor, unsicher ob Primärtumor oder Metastase;8000/9 Unklassifizierter maligner Tumor, unsicher ob Primärtumor oder Metastase;56
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8000/9_mfj;8000/9 Maligne Neoplasie, unsicher ob Primärtumor oder Metastase;8000/9 Maligne Neoplasie, unsicher ob Primärtumor oder Metastase;55
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8001/0_YXY;8001/0 Benigne Tumorzellen;8001/0 Benigne Tumorzellen;57
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8001/1_BCW;8001/1 Tumorzellen fraglicher Dignität;8001/1 Tumorzellen fraglicher Dignität;58
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8001/1_YDr;8001/1 Tumorzellen o.n.A.;8001/1 Tumorzellen o.n.A.;59
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8001/3_t8P;8001/3 Maligne Tumorzellen;8001/3 Maligne Tumorzellen;60
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8002/3_0g2;8002/3 Kleinzelliger maligner Tumor;8002/3 Kleinzelliger maligner Tumor;61
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8003/3_0FE;8003/3 Riesenzelliger maligner Tumor;8003/3 Riesenzelliger maligner Tumor;62
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8004/3_6Ko;8004/3 Spindelzelliger maligner Tumor;8004/3 Spindelzelliger maligner Tumor;63
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8004/3_qlW;8004/3 Maligner Tumor vom fusiformen Zelltyp;8004/3 Maligner Tumor vom fusiformen Zelltyp;64
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8005/0_PeA;8005/0 Klarzelliger Tumor o.n.A.;8005/0 Klarzelliger Tumor o.n.A.;65
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8005/3_MkF;8005/3 Klarzelliger maligner Tumor;8005/3 Klarzelliger maligner Tumor;66
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8010/0_bsJ;8010/0 Benigner epithelialer Tumor;8010/0 Benigner epithelialer Tumor;68
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8010/0_lnI;8010/0 Benigne epitheliale Neoplasie;8010/0 Benigne epitheliale Neoplasie;67
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8010/2_LHR;8010/2 Intraepitheliales Karzinom o.n.A.;8010/2 Intraepitheliales Karzinom o.n.A.;70
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8010/2_RpB;8010/2 Carcinoma in situ o.n.A.;8010/2 Carcinoma in situ o.n.A.;69
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8010/3_vP8;8010/3 Maligner epithelialer Tumor;8010/3 Maligner epithelialer Tumor;72
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8010/3_zje;8010/3 Karzinom o.n.A.;8010/3 Karzinom o.n.A.;71
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8010/6_e6m;8010/6 Karzinom-Metastase o.n.A.;8010/6 Karzinom-Metastase o.n.A.;73
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8010/6_LuI;8010/6 Sekundäres Karzinom;8010/6 Sekundäres Karzinom;74
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8010/9_C+e;8010/9 Karzinomatose;8010/9 Karzinomatose;75
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8011/0_OWw;8011/0 Benignes Epitheliom;8011/0 Benignes Epitheliom;76
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8011/3_RnA;8011/3 Epitheliom o.n.A.;8011/3 Epitheliom o.n.A.;78
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8011/3_W/3;8011/3 Malignes Epitheliom;8011/3 Malignes Epitheliom;77
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8012/3_Oqv;8012/3 Großzelliges Karzinom o.n.A.;8012/3 Großzelliges Karzinom o.n.A.;79
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8013/3_IP+;8013/3 Großzelliges neuroendokrines Karzinom;8013/3 Großzelliges neuroendokrines Karzinom;80
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8013/3_LY2;8013/3 Kombiniertes großzelliges neuroendokrines Karzinom;8013/3 Kombiniertes großzelliges neuroendokrines Karzinom;81
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8014/3_mT+;8014/3 Großzelliges Karzinom mit rhabdoidem Phänotyp;8014/3 Großzelliges Karzinom mit rhabdoidem Phänotyp;82
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8015/3_BrZ;8015/3 Glassy cell carcinoma;8015/3 Glassy cell carcinoma;84
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8015/3_jY9;8015/3 Glaszellkarzinom;8015/3 Glaszellkarzinom;83
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8020/3_gBn;8020/3 Entdifferenziertes Karzinom;8020/3 Entdifferenziertes Karzinom;87
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8020/3_mjW;8020/3 Wenig differenziertes Karzinom o.n.A.;8020/3 Wenig differenziertes Karzinom o.n.A.;88
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8020/3_PnH;8020/3 Undifferenziertes Karzinom o.n.A.;8020/3 Undifferenziertes Karzinom o.n.A.;85
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8020/3_tO4;8020/3 Anaplastisches undifferenziertes Karzinom;8020/3 Anaplastisches undifferenziertes Karzinom;86
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8021/3_YUJ;8021/3 Anaplastisches Karzinom o.n.A.;8021/3 Anaplastisches Karzinom o.n.A.;89
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8022/3_1Li;8022/3 Pleomorphes Karzinom;8022/3 Pleomorphes Karzinom;90
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8023/3_8Lc;8023/3 NUT (Nuclear protein in testis)-assoziiertes Karzinom;8023/3 NUT (Nuclear protein in testis)-assoziiertes Karzinom;91
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8023/3_n+r;8023/3 NUT-Mittellinien-Karzinom;8023/3 NUT-Mittellinien-Karzinom;93
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8023/3_qT5;8023/3 NUT-Karzinom;8023/3 NUT-Karzinom;92
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8030/3_jdc;8030/3 Riesenzell- und Spindelzellkarzinom;8030/3 Riesenzell- und Spindelzellkarzinom;94
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8031/3_eK7;8031/3 Riesenzellkarzinom;8031/3 Riesenzellkarzinom;95
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8032/3_/Bm;8032/3 Spindelzellkarzinom o.n.A.;8032/3 Spindelzellkarzinom o.n.A.;96
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8033/3_ehi;8033/3 Sarkomatoides Karzinom;8033/3 Sarkomatoides Karzinom;98
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8033/3_F5F;8033/3 Pseudosarkomatöses Karzinom;8033/3 Pseudosarkomatöses Karzinom;97
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8034/3_Xf/;8034/3 Polygonalzelliges Karzinom;8034/3 Polygonalzelliges Karzinom;99
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8035/3_Qz2;8035/3 Karzinom mit osteoklastenähnlichen Riesenzellen;8035/3 Karzinom mit osteoklastenähnlichen Riesenzellen;100
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8040/0_TNA;8040/0 Benignes Tumorlet;8040/0 Benignes Tumorlet;101
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8040/1_ID7;8040/1 Tumorlet o.n.A.;8040/1 Tumorlet o.n.A.;102
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8041/3_/+d;8041/3 Kleinzelliges Karzinom o.n.A.;8041/3 Kleinzelliges Karzinom o.n.A.;103
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8041/3_8eT;8041/3 Kleinzelliges Karzinom vom pulmonalen Typ;8041/3 Kleinzelliges Karzinom vom pulmonalen Typ;104
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8041/3_nHi;8041/3 Kleinzelliges neuroendokrines Karzinom;8041/3 Kleinzelliges neuroendokrines Karzinom;105
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8041/3_qXe;8041/3 Reservezellkarzinom;8041/3 Reservezellkarzinom;106
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8041/3_TRF;8041/3 Rundzellkarzinom;8041/3 Rundzellkarzinom;107
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8042/3_AYn;8042/3 Oat-Cell-Karzinom;8042/3 Oat-Cell-Karzinom;109
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8042/3_Hnj;8042/3 Haferzell-Karzinom [C34.-];8042/3 Haferzell-Karzinom [C34.-];108
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8043/3_xkD;8043/3 Kleinzelliges spindelzelliges Karzinom;8043/3 Kleinzelliges spindelzelliges Karzinom;110
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8044/3_LaD;8044/3 Kleinzelliges Karzinom vom Intermediärtyp;8044/3 Kleinzelliges Karzinom vom Intermediärtyp;111
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8044/3_M9L;8044/3 Kleinzelliges Karzinom vom hyperkalzämischen Typ [C56.9];8044/3 Kleinzelliges Karzinom vom hyperkalzämischen Typ [C56.9];112
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8045/3_5jL;8045/3 Gemischtes kleinzelliges Karzinom;8045/3 Gemischtes kleinzelliges Karzinom;114
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8045/3_FQM;8045/3 Kombiniertes kleinzelliges Karzinom;8045/3 Kombiniertes kleinzelliges Karzinom;113
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8045/3_gXi;8045/3 Kombiniertes klein- und großzelliges Karzinom;8045/3 Kombiniertes klein- und großzelliges Karzinom;117
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8045/3_HZe;8045/3 Kombiniertes Haferzell- und Plattenepithelkarzinom;8045/3 Kombiniertes Haferzell- und Plattenepithelkarzinom;116
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8045/3_iGu;8045/3 Kombiniertes Haferzell- und Adenokarzinom;8045/3 Kombiniertes Haferzell- und Adenokarzinom;115
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8046/3_nXM;8046/3 Nichtkleinzelliges Karzinom [C34.-];8046/3 Nichtkleinzelliges Karzinom [C34.-];118
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8050/0_J8c;8050/0 Papillom o.n.A. (Exkl.: Papillom der Blase [8120/0]);8050/0 Papillom o.n.A. (Exkl.: Papillom der Blase [8120/0]);119
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8050/2_sOv;8050/2 Papilläres Carcinoma in situ;8050/2 Papilläres Carcinoma in situ;120
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8050/3_dKf;8050/3 Papilläres Karzinom o.n.A.;8050/3 Papilläres Karzinom o.n.A.;121
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8051/0_5cX;8051/0 Verruköses Papillom;8051/0 Verruköses Papillom;122
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8051/3_lQ8;8051/3 Verruköses Plattenepithelkarzinom;8051/3 Verruköses Plattenepithelkarzinom;125
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8051/3_P22;8051/3 Verruköses Epidermoidkarzinom;8051/3 Verruköses Epidermoidkarzinom;124
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8051/3_zxV;8051/3 Verruköses Karzinom o.n.A.;8051/3 Verruköses Karzinom o.n.A.;123
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8052/0_DeA;8052/0 Plattenepithelpapillom o.n.A.;8052/0 Plattenepithelpapillom o.n.A.;126
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8052/0_RtM;8052/0 Plattenepithelpapillom;8052/0 Plattenepithelpapillom;128
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8052/0_TnC;8052/0 Keratotisches Papillom;8052/0 Keratotisches Papillom;127
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8052/2_imZ;8052/2 Papilläres Plattenepithel-Carcinoma in situ;8052/2 Papilläres Plattenepithel-Carcinoma in situ;130
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8052/2_POr;8052/2 Nichtinvasives papilläres Plattenepithelkarzinom;8052/2 Nichtinvasives papilläres Plattenepithelkarzinom;129
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8052/3_oiF;8052/3 Papilläres Plattenepithelkarzinom;8052/3 Papilläres Plattenepithelkarzinom;131
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8052/3_Ze6;8052/3 Papilläres Epidermoidkarzinom;8052/3 Papilläres Epidermoidkarzinom;132
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8053/0_xS2;8053/0 Invertiertes Plattenepithel-Papillom;8053/0 Invertiertes Plattenepithel-Papillom;133
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8054/0_aqF;8054/0 Warziges Dyskeratom;8054/0 Warziges Dyskeratom;134
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8054/3_/ou;8054/3 Warziges Basaloidkarzinom;8054/3 Warziges Basaloidkarzinom;137
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8054/3_MHc;8054/3 Warziges Karzinom;8054/3 Warziges Karzinom;135
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8054/3_pPu;8054/3 Kondylomatöses Karzinom;8054/3 Kondylomatöses Karzinom;136
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8060/0_Acz;8060/0 Papillomatose o.n.A.;8060/0 Papillomatose o.n.A.;139
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8060/0_FP0;8060/0 Plattenepithel-Papillomatose;8060/0 Plattenepithel-Papillomatose;138
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8070/0_Ius;8070/0 Aktinische Keratose;8070/0 Aktinische Keratose;140
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8070/0_Qxc;8070/0 Arsenkeratose;8070/0 Arsenkeratose;141
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8070/0_UNb;8070/0 PUVA-Keratose;8070/0 PUVA-Keratose;142
ICD-O-3 morphology codes;SIMPLE;13a6c852-7e98-4548-a026-e634f2c30e24;49;ICD-O-3 Morphologie 2019 (Revision 2);18;8070/2_1WB;8070/2 Intraepidermales Karzinom o.n.A.;8070/2 Intraepidermales Karzinom o.n.A.;145
